assessment_id	comment_cd
4502	10
4695	7
4498	8
4311	5
4519	5
4055	10
4249	4
4036	10
4954	1
4843	6
4876	3
4695	9
4596	2
4904	3
4176	4
4984	6
4727	8
4691	6
4965	3
4301	4
4133	8
4368	2
4443	9
4119	5
4721	2
4600	1
4923	1
4932	1
4943	3
4300	1
4529	9
4518	4
4830	8
4597	8
4163	1
4725	7
4689	8
4972	3
4463	1
4924	10
4668	5
4149	2
4887	1
4967	3
4617	9
4812	9
4901	5
4606	6
4104	3
4365	1
4263	5
4876	4
4629	10
4486	9
4363	6
4285	6
4862	5
4198	2
4558	7
4085	5
4458	5
4385	7
4972	4
4879	2
4375	5
4851	5
4222	10
4891	1
4956	9
4035	10
4981	10
4408	3
4324	3
4782	7
4600	6
4141	3
4547	5
4281	4
4946	3
4523	6
4237	10
4647	3
4253	3
4653	5
4444	8
4628	4
4886	3
4769	3
4363	8
4958	8
4543	5
4163	1
4984	8
4159	10
4733	10
4737	8
4377	4
4569	2
4177	9
4703	6
4235	3
4865	7
4647	2
4622	2
4656	6
4471	3
4240	5
4165	3
4027	9
4480	5
4874	9
4479	2
4912	2
4918	5
4638	3
4435	9
4573	10
4034	2
4396	1
4968	6
4321	2
4524	8
4011	10
4673	9
4667	10
4991	3
4031	9
4855	5
4099	5
4875	2
4174	3
4190	8
4979	3
4407	7
4121	4
4304	10
4811	7
4720	9
4603	5
4858	9
4236	6
4638	3
4616	6
4853	6
4406	9
4882	10
4956	10
4604	8
4548	7
4452	2
4297	9
4395	1
4614	2
4156	2
4164	4
4463	8
4841	10
4997	10
4738	8
4590	4
4293	3
4080	7
4675	8
4606	10
4220	1
4980	10
4238	6
4240	7
4426	9
4163	5
4704	5
4259	6
4283	10
4703	9
4674	2
4918	3
4122	1
4568	1
4856	4
4270	4
4281	6
4082	10
4601	9
4613	4
4915	2
4119	6
4346	8
4188	1
4709	1
4387	10
4167	3
4157	2
4885	1
4491	3
4754	9
4838	7
4410	7
4005	2
4699	2
4351	3
4497	5
4892	8
4326	1
4922	5
4169	7
4914	5
4515	5
4117	2
4124	10
4028	8
4001	5
4192	1
4150	9
4926	2
4881	1
4328	1
4500	6
4127	5
4979	1
4189	6
4465	10
4984	9
4992	4
4346	2
4274	3
4683	10
4392	5
4081	9
4831	4
4263	10
4231	9
4161	3
4931	10
4619	3
4306	8
4670	2
4301	4
4900	2
4937	9
4806	7
4069	5
4633	5
4906	9
4983	6
4682	10
4412	10
4265	6
4466	5
4075	4
4465	8
4009	1
4355	1
4549	4
4111	1
4361	2
4600	10
4274	2
4069	1
4425	3
4727	2
4001	5
4161	1
4058	6
4062	7
4825	3
4937	4
4815	6
4717	4
4771	8
4255	9
4161	5
4367	1
4323	8
4690	1
4914	1
4510	9
4012	5
4697	7
4050	10
4761	6
4617	3
4340	9
4343	6
4931	2
4515	6
4389	9
4226	1
4261	2
4403	5
4208	8
4782	7
4346	8
4938	4
4171	3
4958	5
4676	2
4071	1
4661	8
4117	4
4422	6
4211	4
4612	3
4209	10
4687	1
4272	8
4838	8
4076	6
4833	4
4330	6
4346	9
4610	5
4995	8
4924	8
4574	3
4240	6
4346	5
4951	3
4005	8
4842	5
4846	2
4581	4
4924	9
4208	8
4394	9
4239	8
4300	3
4477	9
4058	6
4818	10
4985	4
4885	5
4873	1
4119	6
4560	4
4371	8
4967	4
4989	4
4429	10
4491	4
4622	4
4923	5
4936	3
4871	4
4181	1
4876	6
4567	7
4542	9
4133	6
4043	10
4681	2
4462	3
4439	8
4891	7
4659	4
4065	10
4553	6
4408	8
4218	7
4476	4
4937	1
4875	8
4393	8
4425	10
4066	7
4932	9
4337	10
4653	10
4603	8
4372	3
4345	2
4664	10
4886	9
4952	8
4155	7
4137	9
4160	7
4467	4
4837	9
4769	8
4348	7
4622	10
4834	4
4257	4
4145	2
4119	8
4711	5
4405	9
4680	1
4543	3
4890	4
4786	1
4683	6
4220	6
4650	4
4459	9
4744	7
4210	4
4439	6
4069	9
4182	10
4464	10
4821	1
4021	7
4203	3
4974	7
4639	5
4483	2
4412	8
4373	4
4973	9
4802	7
4882	1
4618	1
4084	10
4274	3
4908	3
4265	1
4198	2
4376	6
4612	1
4587	5
4601	4
4527	10
4257	6
4656	3
4394	5
4034	2
4017	2
4193	10
4812	7
4649	5
4607	8
4291	5
4874	7
4693	10
4517	1
4507	1
4061	1
4209	2
4499	10
4037	4
4568	4
4021	5
4480	3
4004	6
4626	2
4048	7
4734	1
4218	2
4211	3
4463	9
4985	10
4715	3
4256	8
4338	9
4662	10
4872	4
4211	5
4477	6
4209	5
4402	8
4861	2
4877	3
4069	1
4315	3
4313	1
4102	4
4212	10
4178	3
4884	1
4606	8
4314	4
4093	9
4158	4
4040	8
4544	1
4036	3
4290	5
4381	6
4114	8
4156	3
4064	2
4508	2
4515	9
4207	4
4402	3
4691	8
4394	9
4143	2
4835	3
4034	10
4111	6
4293	1
4759	7
4797	6
4026	6
4443	4
4016	10
4067	2
4526	3
4461	7
4863	2
4222	2
4228	2
4650	6
4044	4
4827	3
4039	9
4799	8
4722	3
4074	8
4760	5
4226	10
4413	6
4938	4
4152	7
4534	4
4867	6
4044	7
4003	1
4982	6
4751	2
4838	4
4925	2
4605	1
4213	4
4748	4
4587	8
4082	7
4099	4
4766	2
4333	2
4796	2
4044	2
4377	3
4431	8
4120	6
4863	3
4047	4
4916	6
4048	3
4722	1
4189	7
4460	2
4432	4
4229	6
4454	9
4844	4
4105	9
4028	4
4230	5
4910	1
4913	4
4308	9
4678	9
4444	3
4848	9
4087	8
4984	1
4573	8
4497	7
4283	1
4983	3
4854	8
4208	2
4928	5
4478	4
4455	5
4307	3
4583	6
4462	1
4483	1
4279	9
4890	2
4801	7
4301	3
4194	1
4909	2
4404	6
4719	2
4664	5
4257	1
4714	6
4404	7
4780	6
4523	8
4989	10
4926	1
4496	1
4327	7
4825	8
4169	4
4058	6
4634	4
4451	1
4067	2
4597	10
4304	10
4246	1
4523	10
4425	10
4264	1
4219	3
4735	9
4310	7
4749	6
4682	3
4780	8
4264	4
4054	2
4208	6
4336	8
4020	7
4535	6
4573	9
4112	5
4101	7
4619	9
4356	6
4489	9
4664	5
4157	9
4733	8
4138	1
4832	8
4656	10
4783	9
4055	6
4367	2
4230	2
4941	1
4533	5
4263	10
4555	2
4479	8
4641	1
4862	7
4017	1
4256	10
4057	10
4169	5
4785	4
4733	1
4166	10
