achievement_id	student_id	achieve_typ_cd	date_achieve	achieve_details
error: nil can't be coerced into Fixnum	1	6	11/24/2015	Research and Development
error: nil can't be coerced into Fixnum	2	2	3/31/2016	Legal
error: nil can't be coerced into Fixnum	3	9	5/7/2015	Business Development
error: nil can't be coerced into Fixnum	4	10	5/16/2013	Accounting
error: nil can't be coerced into Fixnum	5	5	4/9/2015	Research and Development
error: nil can't be coerced into Fixnum	6	1	8/29/2016	Engineering
error: nil can't be coerced into Fixnum	7	7	6/22/2011	Marketing
error: nil can't be coerced into Fixnum	8	5	10/20/2014	Human Resources
error: nil can't be coerced into Fixnum	9	1	9/14/2013	Marketing
error: nil can't be coerced into Fixnum	10	9	10/19/2012	Sales
error: nil can't be coerced into Fixnum	11	2	2/6/2014	Product Management
error: nil can't be coerced into Fixnum	12	4	1/1/2014	Product Management
error: nil can't be coerced into Fixnum	13	3	6/6/2013	Training
error: nil can't be coerced into Fixnum	14	3	10/29/2012	Human Resources
error: nil can't be coerced into Fixnum	15	3	12/7/2015	Business Development
error: nil can't be coerced into Fixnum	16	10	11/5/2013	Legal
error: nil can't be coerced into Fixnum	17	7	1/17/2016	Support
error: nil can't be coerced into Fixnum	18	5	2/24/2011	Services
error: nil can't be coerced into Fixnum	19	2	6/17/2011	Support
error: nil can't be coerced into Fixnum	20	8	5/11/2015	Legal
error: nil can't be coerced into Fixnum	21	3	1/25/2013	Research and Development
error: nil can't be coerced into Fixnum	22	8	10/8/2015	Legal
error: nil can't be coerced into Fixnum	23	6	11/15/2011	Accounting
error: nil can't be coerced into Fixnum	24	8	9/7/2014	Engineering
error: nil can't be coerced into Fixnum	25	8	10/16/2015	Product Management
error: nil can't be coerced into Fixnum	26	8	11/8/2011	Training
error: nil can't be coerced into Fixnum	27	10	10/23/2012	Human Resources
error: nil can't be coerced into Fixnum	28	8	2/13/2014	Business Development
error: nil can't be coerced into Fixnum	29	1	2/8/2015	Services
error: nil can't be coerced into Fixnum	30	9	10/14/2016	Research and Development
error: nil can't be coerced into Fixnum	31	1	2/10/2016	Business Development
error: nil can't be coerced into Fixnum	32	4	9/15/2016	Engineering
error: nil can't be coerced into Fixnum	33	10	12/2/2013	Sales
error: nil can't be coerced into Fixnum	34	8	10/22/2012	Marketing
error: nil can't be coerced into Fixnum	35	10	2/5/2011	Marketing
error: nil can't be coerced into Fixnum	36	6	5/24/2011	Sales
error: nil can't be coerced into Fixnum	37	7	2/27/2016	Product Management
error: nil can't be coerced into Fixnum	38	2	5/24/2016	Training
error: nil can't be coerced into Fixnum	39	1	10/7/2016	Product Management
error: nil can't be coerced into Fixnum	40	9	3/25/2012	Accounting
error: nil can't be coerced into Fixnum	41	9	5/19/2011	Product Management
error: nil can't be coerced into Fixnum	42	10	6/30/2016	Product Management
error: nil can't be coerced into Fixnum	43	7	9/20/2013	Support
error: nil can't be coerced into Fixnum	44	9	5/14/2015	Training
error: nil can't be coerced into Fixnum	45	7	1/6/2013	Research and Development
error: nil can't be coerced into Fixnum	46	3	7/12/2016	Engineering
error: nil can't be coerced into Fixnum	47	7	7/12/2012	Engineering
error: nil can't be coerced into Fixnum	48	10	10/25/2012	Engineering
error: nil can't be coerced into Fixnum	49	5	9/2/2015	Services
error: nil can't be coerced into Fixnum	50	10	1/20/2016	Support
error: nil can't be coerced into Fixnum	51	1	7/4/2011	Accounting
error: nil can't be coerced into Fixnum	52	4	12/20/2011	Research and Development
error: nil can't be coerced into Fixnum	53	6	1/2/2015	Engineering
error: nil can't be coerced into Fixnum	54	1	7/24/2016	Training
error: nil can't be coerced into Fixnum	55	6	4/18/2012	Services
error: nil can't be coerced into Fixnum	56	7	1/27/2014	Engineering
error: nil can't be coerced into Fixnum	57	3	4/17/2011	Legal
error: nil can't be coerced into Fixnum	58	4	1/25/2015	Accounting
error: nil can't be coerced into Fixnum	59	1	11/12/2014	Support
error: nil can't be coerced into Fixnum	60	8	11/22/2015	Accounting
error: nil can't be coerced into Fixnum	61	8	7/6/2014	Legal
error: nil can't be coerced into Fixnum	62	9	5/23/2012	Engineering
error: nil can't be coerced into Fixnum	63	6	1/21/2016	Business Development
error: nil can't be coerced into Fixnum	64	6	4/14/2013	Marketing
error: nil can't be coerced into Fixnum	65	6	1/31/2016	Engineering
error: nil can't be coerced into Fixnum	66	10	4/17/2016	Sales
error: nil can't be coerced into Fixnum	67	7	4/14/2011	Human Resources
error: nil can't be coerced into Fixnum	68	9	1/23/2013	Legal
error: nil can't be coerced into Fixnum	69	7	11/21/2013	Sales
error: nil can't be coerced into Fixnum	70	10	6/28/2013	Marketing
error: nil can't be coerced into Fixnum	71	4	6/10/2013	Product Management
error: nil can't be coerced into Fixnum	72	8	7/14/2012	Product Management
error: nil can't be coerced into Fixnum	73	7	6/26/2012	Training
error: nil can't be coerced into Fixnum	74	8	8/1/2015	Legal
error: nil can't be coerced into Fixnum	75	9	2/6/2014	Business Development
error: nil can't be coerced into Fixnum	76	1	7/27/2015	Research and Development
error: nil can't be coerced into Fixnum	77	7	4/23/2012	Legal
error: nil can't be coerced into Fixnum	78	7	9/23/2011	Research and Development
error: nil can't be coerced into Fixnum	79	2	8/7/2015	Engineering
error: nil can't be coerced into Fixnum	80	2	9/11/2016	Research and Development
error: nil can't be coerced into Fixnum	81	6	7/24/2015	Services
error: nil can't be coerced into Fixnum	82	5	4/8/2014	Business Development
error: nil can't be coerced into Fixnum	83	3	7/29/2016	Services
error: nil can't be coerced into Fixnum	84	6	6/22/2011	Accounting
error: nil can't be coerced into Fixnum	85	5	5/18/2014	Engineering
error: nil can't be coerced into Fixnum	86	2	6/13/2011	Accounting
error: nil can't be coerced into Fixnum	87	4	9/12/2014	Sales
error: nil can't be coerced into Fixnum	88	8	8/8/2011	Engineering
error: nil can't be coerced into Fixnum	89	6	10/25/2014	Accounting
error: nil can't be coerced into Fixnum	90	9	1/20/2014	Services
error: nil can't be coerced into Fixnum	91	8	3/21/2014	Accounting
error: nil can't be coerced into Fixnum	92	7	4/30/2012	Product Management
error: nil can't be coerced into Fixnum	93	1	11/18/2011	Sales
error: nil can't be coerced into Fixnum	94	3	1/18/2011	Services
error: nil can't be coerced into Fixnum	95	5	12/4/2013	Business Development
error: nil can't be coerced into Fixnum	96	2	1/28/2015	Research and Development
error: nil can't be coerced into Fixnum	97	10	4/11/2016	Marketing
error: nil can't be coerced into Fixnum	98	6	10/27/2016	Services
error: nil can't be coerced into Fixnum	99	1	4/5/2011	Business Development
error: nil can't be coerced into Fixnum	100	10	6/19/2016	Product Management
error: nil can't be coerced into Fixnum	101	3	11/22/2015	Accounting
error: nil can't be coerced into Fixnum	102	10	3/23/2015	Accounting
error: nil can't be coerced into Fixnum	103	10	2/8/2015	Accounting
error: nil can't be coerced into Fixnum	104	6	12/19/2011	Marketing
error: nil can't be coerced into Fixnum	105	3	4/23/2013	Legal
error: nil can't be coerced into Fixnum	106	10	12/11/2013	Legal
error: nil can't be coerced into Fixnum	107	2	5/22/2012	Product Management
error: nil can't be coerced into Fixnum	108	4	1/30/2015	Marketing
error: nil can't be coerced into Fixnum	109	5	2/22/2015	Product Management
error: nil can't be coerced into Fixnum	110	5	2/11/2015	Business Development
error: nil can't be coerced into Fixnum	111	2	5/18/2012	Engineering
error: nil can't be coerced into Fixnum	112	4	6/9/2014	Marketing
error: nil can't be coerced into Fixnum	113	2	3/9/2012	Legal
error: nil can't be coerced into Fixnum	114	9	7/31/2015	Training
error: nil can't be coerced into Fixnum	115	8	5/17/2016	Research and Development
error: nil can't be coerced into Fixnum	116	2	8/7/2013	Support
error: nil can't be coerced into Fixnum	117	6	6/16/2011	Human Resources
error: nil can't be coerced into Fixnum	118	9	4/7/2015	Engineering
error: nil can't be coerced into Fixnum	119	2	3/21/2016	Marketing
error: nil can't be coerced into Fixnum	120	8	12/13/2013	Accounting
error: nil can't be coerced into Fixnum	121	2	12/16/2014	Support
error: nil can't be coerced into Fixnum	122	3	1/28/2012	Legal
error: nil can't be coerced into Fixnum	123	7	1/2/2011	Legal
error: nil can't be coerced into Fixnum	124	7	9/15/2014	Support
error: nil can't be coerced into Fixnum	125	8	7/15/2016	Sales
error: nil can't be coerced into Fixnum	126	4	2/27/2014	Accounting
error: nil can't be coerced into Fixnum	127	4	11/5/2016	Services
error: nil can't be coerced into Fixnum	128	3	10/5/2012	Legal
error: nil can't be coerced into Fixnum	129	9	6/2/2015	Legal
error: nil can't be coerced into Fixnum	130	5	7/8/2013	Sales
error: nil can't be coerced into Fixnum	131	7	5/18/2015	Marketing
error: nil can't be coerced into Fixnum	132	4	3/1/2016	Support
error: nil can't be coerced into Fixnum	133	4	2/3/2016	Sales
error: nil can't be coerced into Fixnum	134	10	8/7/2014	Support
error: nil can't be coerced into Fixnum	135	7	5/20/2014	Product Management
error: nil can't be coerced into Fixnum	136	2	11/17/2011	Engineering
error: nil can't be coerced into Fixnum	137	8	11/21/2012	Services
error: nil can't be coerced into Fixnum	138	7	8/9/2013	Product Management
error: nil can't be coerced into Fixnum	139	3	4/10/2016	Engineering
error: nil can't be coerced into Fixnum	140	7	2/13/2011	Business Development
error: nil can't be coerced into Fixnum	141	7	5/2/2013	Legal
error: nil can't be coerced into Fixnum	142	10	9/15/2011	Product Management
error: nil can't be coerced into Fixnum	143	10	5/29/2012	Marketing
error: nil can't be coerced into Fixnum	144	1	5/4/2016	Training
error: nil can't be coerced into Fixnum	145	5	9/19/2016	Research and Development
error: nil can't be coerced into Fixnum	146	5	5/25/2011	Research and Development
error: nil can't be coerced into Fixnum	147	9	4/5/2014	Legal
error: nil can't be coerced into Fixnum	148	1	9/12/2012	Legal
error: nil can't be coerced into Fixnum	149	2	1/24/2014	Human Resources
error: nil can't be coerced into Fixnum	150	9	9/7/2016	Legal
error: nil can't be coerced into Fixnum	151	7	7/30/2014	Accounting
error: nil can't be coerced into Fixnum	152	9	9/6/2013	Human Resources
error: nil can't be coerced into Fixnum	153	4	6/25/2013	Product Management
error: nil can't be coerced into Fixnum	154	7	6/4/2013	Legal
error: nil can't be coerced into Fixnum	155	6	12/7/2012	Sales
error: nil can't be coerced into Fixnum	156	7	2/14/2013	Legal
error: nil can't be coerced into Fixnum	157	10	8/5/2014	Sales
error: nil can't be coerced into Fixnum	158	8	6/22/2014	Legal
error: nil can't be coerced into Fixnum	159	4	7/2/2011	Training
error: nil can't be coerced into Fixnum	160	8	2/22/2012	Services
error: nil can't be coerced into Fixnum	161	1	5/25/2013	Engineering
error: nil can't be coerced into Fixnum	162	2	4/15/2011	Marketing
error: nil can't be coerced into Fixnum	163	4	3/14/2014	Sales
error: nil can't be coerced into Fixnum	164	6	12/1/2010	Business Development
error: nil can't be coerced into Fixnum	165	2	7/10/2016	Research and Development
error: nil can't be coerced into Fixnum	166	5	12/30/2010	Human Resources
error: nil can't be coerced into Fixnum	167	2	9/5/2014	Engineering
error: nil can't be coerced into Fixnum	168	5	3/22/2014	Engineering
error: nil can't be coerced into Fixnum	169	5	5/10/2014	Accounting
error: nil can't be coerced into Fixnum	170	3	5/12/2011	Legal
error: nil can't be coerced into Fixnum	171	3	12/5/2010	Services
error: nil can't be coerced into Fixnum	172	10	4/14/2012	Marketing
error: nil can't be coerced into Fixnum	173	4	10/3/2013	Human Resources
error: nil can't be coerced into Fixnum	174	1	11/14/2014	Human Resources
error: nil can't be coerced into Fixnum	175	2	6/20/2011	Services
error: nil can't be coerced into Fixnum	176	8	2/17/2012	Training
error: nil can't be coerced into Fixnum	177	6	3/13/2013	Accounting
error: nil can't be coerced into Fixnum	178	6	9/15/2016	Sales
error: nil can't be coerced into Fixnum	179	4	2/9/2014	Human Resources
error: nil can't be coerced into Fixnum	180	6	5/23/2015	Services
error: nil can't be coerced into Fixnum	181	9	12/28/2010	Training
error: nil can't be coerced into Fixnum	182	2	6/14/2012	Marketing
error: nil can't be coerced into Fixnum	183	5	4/25/2013	Engineering
error: nil can't be coerced into Fixnum	184	7	10/23/2012	Support
error: nil can't be coerced into Fixnum	185	4	5/27/2016	Training
error: nil can't be coerced into Fixnum	186	5	2/5/2016	Support
error: nil can't be coerced into Fixnum	187	2	8/7/2016	Accounting
error: nil can't be coerced into Fixnum	188	5	7/22/2016	Research and Development
error: nil can't be coerced into Fixnum	189	9	11/5/2015	Accounting
error: nil can't be coerced into Fixnum	190	3	5/8/2011	Training
error: nil can't be coerced into Fixnum	191	4	5/9/2013	Business Development
error: nil can't be coerced into Fixnum	192	9	6/22/2016	Research and Development
error: nil can't be coerced into Fixnum	193	1	2/1/2011	Training
error: nil can't be coerced into Fixnum	194	2	4/2/2013	Support
error: nil can't be coerced into Fixnum	195	3	4/10/2014	Accounting
error: nil can't be coerced into Fixnum	196	1	9/21/2011	Marketing
error: nil can't be coerced into Fixnum	197	9	12/24/2012	Legal
error: nil can't be coerced into Fixnum	198	4	11/6/2013	Legal
error: nil can't be coerced into Fixnum	199	9	8/10/2011	Product Management
error: nil can't be coerced into Fixnum	200	3	2/13/2012	Business Development
error: nil can't be coerced into Fixnum	201	9	7/31/2011	Accounting
error: nil can't be coerced into Fixnum	202	5	11/17/2014	Accounting
error: nil can't be coerced into Fixnum	203	10	6/10/2012	Research and Development
error: nil can't be coerced into Fixnum	204	2	8/17/2012	Training
error: nil can't be coerced into Fixnum	205	2	7/30/2012	Accounting
error: nil can't be coerced into Fixnum	206	10	1/25/2012	Accounting
error: nil can't be coerced into Fixnum	207	1	10/13/2016	Research and Development
error: nil can't be coerced into Fixnum	208	6	12/16/2010	Research and Development
error: nil can't be coerced into Fixnum	209	5	10/4/2016	Human Resources
error: nil can't be coerced into Fixnum	210	6	10/2/2015	Marketing
error: nil can't be coerced into Fixnum	211	9	11/28/2014	Training
error: nil can't be coerced into Fixnum	212	1	12/7/2013	Training
error: nil can't be coerced into Fixnum	213	4	8/7/2013	Business Development
error: nil can't be coerced into Fixnum	214	9	3/12/2012	Product Management
error: nil can't be coerced into Fixnum	215	9	12/24/2011	Training
error: nil can't be coerced into Fixnum	216	6	8/8/2013	Accounting
error: nil can't be coerced into Fixnum	217	2	5/28/2011	Support
