comment_cd	category_cd	comments_desc
1	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	107	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
2	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	101	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
4	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
8	100	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	104	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
3	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	105	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
9	109	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	103	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
1	102	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
7	106	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
6	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
5	110	"Syntax error in formula 'if comment_cd <= 5 then ""try next time"" elsif comment_cd <= 8 then ""Try hard"" elsif comment_cd=9 then ""one more attempt pending"" else ""Fail"" '"
