student_id	assessment_id	experienced_ind	crt_on_dt	crt_by_nm	sys_vld_frm_dt	sys_vld_to_dt	del_ind
1	4011	false	4/5/2016	George	9/6/2015	12/20/2024	true
2	4745	true	3/31/2016	Victor	7/25/2016	11/2/2026	true
3	4731	true	2/23/2016	Gary	1/16/2016	7/30/2025	true
4	4497	true	2/21/2016	Antonio	6/21/2016	5/10/2025	true
5	4335	true	6/15/2016	Jerry	8/27/2015	4/4/2028	false
6	4248	false	11/28/2015	Bobby	10/5/2016	8/31/2027	false
7	4963	true	1/6/2016	Johnny	6/16/2015	7/27/2029	false
8	4311	true	11/15/2016	Howard	12/29/2014	6/9/2023	true
9	4348	false	12/5/2015	Joshua	8/10/2016	11/14/2024	true
10	4203	false	4/30/2016	Jesse	10/12/2016	11/11/2028	true
11	4760	false	11/15/2016	Ralph	1/29/2015	9/17/2024	false
12	4116	true	7/2/2016	Gregory	8/12/2016	7/1/2027	true
13	4366	true	6/26/2016	John	5/14/2015	9/28/2024	true
14	4170	true	8/13/2016	Peter	9/13/2016	1/18/2026	true
15	4576	false	5/8/2016	Bobby	1/2/2015	3/26/2027	true
16	4421	false	11/5/2016	Bobby	8/18/2015	4/14/2028	true
17	4191	false	2/7/2016	Carlos	10/27/2015	1/3/2023	false
18	4798	false	4/11/2016	Clarence	10/3/2015	1/22/2028	true
19	4817	false	7/18/2016	Raymond	4/18/2016	10/3/2023	false
20	4708	true	11/25/2015	Eugene	2/21/2015	1/30/2025	false
21	4927	true	12/9/2015	Kenneth	3/23/2015	11/3/2026	true
22	4320	true	12/25/2015	Lawrence	7/26/2015	11/5/2026	false
23	4456	true	8/9/2016	Keith	2/23/2017	9/11/2029	false
24	4918	true	3/5/2016	Ryan	2/24/2016	6/14/2028	false
25	4642	true	6/10/2016	Benjamin	2/14/2015	1/23/2023	false
26	4486	true	2/17/2016	Jesse	2/21/2015	3/16/2027	false
27	4833	true	8/29/2016	Howard	1/10/2015	6/12/2027	false
28	4950	false	1/27/2016	Timothy	3/28/2015	12/7/2029	false
29	4055	true	11/8/2016	Ralph	1/20/2017	2/17/2030	true
30	4131	true	1/12/2016	Carlos	10/10/2016	1/28/2028	false
31	4652	true	5/17/2016	Adam	5/2/2016	6/12/2027	true
32	4002	true	5/2/2016	Dennis	12/16/2015	9/30/2026	true
33	4052	true	3/21/2016	Sean	2/1/2015	8/7/2023	true
34	4440	true	9/3/2016	Russell	9/13/2015	6/28/2024	false
35	4348	true	1/29/2016	William	1/9/2017	9/24/2025	true
36	4990	false	12/23/2015	Albert	7/18/2016	12/28/2024	true
37	4369	false	4/29/2016	John	11/17/2016	5/31/2023	false
38	4045	true	11/10/2016	Daniel	3/4/2016	11/12/2026	false
39	4276	true	4/8/2016	Carlos	12/22/2016	4/3/2023	true
40	4143	false	3/14/2016	James	4/16/2016	9/9/2023	false
41	4360	true	2/2/2016	Anthony	5/14/2015	4/7/2026	true
42	4939	false	8/7/2016	Carl	3/30/2015	12/25/2028	true
43	4000	false	5/21/2016	Larry	12/9/2016	12/14/2022	false
44	4951	false	6/9/2016	Antonio	7/26/2016	3/21/2025	false
45	4733	true	12/5/2015	Carlos	6/11/2016	10/7/2028	false
46	4156	false	8/19/2016	Lawrence	5/15/2016	6/17/2028	false
47	4416	true	9/22/2016	Larry	10/3/2016	8/2/2024	false
48	4740	false	11/25/2015	Robert	8/23/2015	10/1/2024	true
49	4329	true	12/21/2015	Paul	12/12/2015	10/28/2026	false
50	4804	true	3/23/2016	Brian	3/27/2015	4/13/2028	false
51	4366	true	5/26/2016	Roy	1/31/2017	5/12/2024	true
52	4737	false	1/20/2016	Jerry	4/2/2015	8/3/2024	false
53	4359	false	3/2/2016	Donald	10/21/2016	9/21/2028	false
54	4506	true	7/10/2016	William	12/9/2015	9/20/2024	false
55	4214	true	11/28/2015	William	9/29/2016	10/20/2027	false
